Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Agency Assist,4/12/13 14:57,2013-04-12 14:57:31 and 2013-04-12 14:57:31,1304-0120,830 W JEFFERSON ST; TANNER HALL,CLO
Suspicious Act.,1/16/13 20:36,2013-01-16 20:36:27 and 2013-01-16 20:36:27,1301-0125,530 W CALL ST; FINE ARTS BLDG,CLO
Crim Mischief,12/2/13 22:02,2013-12-02 22:02:21 and 2013-12-02 22:02:21,1312-0015,1904 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 2,CLO
Traffic Offense,5/6/13 0:37,2013-05-06 00:37:12 and 2013-05-06 00:37:13,1305-0053,W PENSACOLA ST & S MACOMB ST,CLO
Drugs,9/28/13 2:54,2013-09-28 02:54:33 and 2013-09-28 02:54:33,1309-0320,HERITAGE GROVE CIR,CLO
Theft,1/26/13 17:53,2013-01-26 17:53:38 and 2013-01-26 17:53:38,1301-0248,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Theft,7/26/13 10:57,2013-07-23 00:01:00 and 2013-07-26 10:57:43,1307-0220,1165 ACADEMIC WAY; MCCOLLUM HALL,CLO
Drugs,10/20/13 14:58,2013-10-20 14:58:05 and 2013-10-20 14:58:12,1310-0245,STADIUM DR,PEN
Aban Bike 11B,7/28/13 10:32,2013-07-28 10:32:08 and 2013-07-28 10:32:08,1307-0245,414 WALKER ST; Parking Garage #6,CLO
Sick/Inj Person,4/13/13 14:41,2013-04-13 14:41:05 and 2013-04-13 14:41:05,1304-0130,411 STADIUM DR; CAMPBELL STADIUM,CLO
Alcohol Offense,7/5/13 22:57,2013-07-05 22:57:03 and 2013-07-05 22:57:03,1307-0027,1908 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 3,PEN
Theft,11/3/13 14:42,2013-11-03 14:42:22 and 2013-11-03 14:42:22,1311-0100,1110 W CALL ST; FRESH FOOD DINER,CLO
Drugs,10/2/13 15:52,2013-10-02 15:52:25 and 2013-10-02 15:52:25,1310-0020,74 CHIEFTAN WAY; KELLUM HALL,CLO
DUI,7/16/13 2:12,2013-07-16 02:12:15 and 2013-07-16 02:12:16,1307-0105,W PENSACOLA ST & GRAY ST,PEN
Theft,10/31/13 13:24,2013-10-31 10:00:00 and 2013-10-31 12:30:00,1310-0419,1641 LEVY AVE; ALUMNI VILLAGE,CLO
Lost Property,2/3/13 14:00,2013-02-03 13:59:59 and 2013-02-03 13:59:59,1302-0029,625 UNIVERSITY WAY; DIFFENBAUGH BLDG,CLO
Alcohol Offense,1/26/13 3:06,2013-01-26 03:06:20 and 2013-01-26 03:06:20,1301-0244,812 W JEFFERSON ST; DORMAN HALL,EXP
Burglary,3/15/13 19:23,2013-03-15 13:30:00 and 2013-03-15 16:45:00,1303-0124,609 W ST AUGUSTINE ST; POSTAL SERVICE STORAGE BLDG.,CLO
Alcohol Offense,3/29/13 23:26,2013-03-29 23:26:23 and 2013-03-29 23:26:23,1303-0273,1952 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 12,CLO
DUI,8/8/13 1:19,2013-08-08 01:19:42 and 2013-08-08 01:19:43,1308-0039,N WOODWARD AVE & W TENNESSEE ST,PEN
Traffic Offense,11/12/13 10:12,2013-11-12 10:12:45 and 2013-11-12 10:12:46,1311-0183,1300 Block Tennessee St. W/B,PEN
Domestic,11/19/13 22:18,2013-11-19 22:18:02 and 2013-11-19 22:18:02,1311-0296,74 CHIEFTAN WAY; KELLUM HALL,PAT
Sick/Inj Person,4/9/13 18:30,2013-04-09 18:30:47 and 2013-04-09 18:30:47,1304-0095,270 CHIEFTAN WAY; HOWSER STADIUM,CLO
Theft-Automobil,1/31/13 20:07,2013-01-28 18:00:00 and 2013-01-29 09:00:00,1301-0308,403 STADIUM DR; UNIVERSITY CENTER D,CLO
Burglary,9/26/13 10:29,2013-09-25 15:30:00 and 2013-09-26 09:30:00,1309-0305,91 CHIEFTAN WAY; KASHA LABORATORY,CLO
Baker Act,5/4/13 18:13,2013-05-04 18:13:08 and 2013-05-04 18:13:08,1305-0046,830 W JEFFERSON ST; TANNER HALL,CLO
Agency Assist,2/23/13 20:24,2013-02-23 20:21:17 and 2013-02-23 20:21:17,1302-0246,322 STADIUM DR; Scholarship Foundation House,CLO
Found Property,1/19/13 19:25,2013-01-19 19:25:36 and 2013-01-19 19:25:36,1301-0172,3226 FLASTACOWO RD; Reservation,CLO
Information Bul,3/10/13 20:13,2013-03-10 20:12:56 and 2013-03-10 20:12:56,1303-0100,HERITAGE GROVE CIR,CLO
Sick/Inj Person,4/2/13 15:12,2013-04-02 15:12:46 and 2013-04-02 15:12:46,1304-0011,89 N WOODWARD AVE; UNION,CLO
Sick/Inj Person,7/8/13 12:44,2013-07-08 12:30:00 and 2013-07-08 12:44:23,1307-0046,1110 W CALL ST; FRESH FOOD DINER,CLO
Theft,10/15/13 17:08,2013-10-14 17:00:00 and 2013-10-15 10:45:00,1310-0182,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,9/11/13 20:43,2013-09-06 16:30:00 and 2013-09-06 18:30:00,1309-0138,517 W PARK AVE; ALPHA GAMMA DELTA,CLO
Sick/Inj Person,3/28/13 10:29,2013-03-28 10:29:35 and 2013-03-28 10:29:35,1303-0242,130 COLLEGIATE LOOP; MONTGOMERY,CLO
Agency Assist,3/18/13 1:33,2013-03-18 01:33:51 and 2013-03-18 01:33:51,1303-0149,STADIUM DR & HENDRY ST,CLO
Suspicious Act.,2/4/13 15:11,2013-01-14 10:30:00 and 2013-02-04 10:30:00,1302-0040,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,1/27/13 11:55,2013-01-27 11:30:00 and 2013-01-27 11:55:04,1301-0252,812 W JEFFERSON ST; DORMAN HALL,CLO
Fire Alarm,7/3/13 17:51,2013-07-03 17:51:49 and 2013-07-03 17:51:49,1307-0014,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 6,CLO
Traff Crash 4,9/2/13 3:47,2013-09-02 03:47:14 and 2013-09-02 03:47:14,1309-0015,270 CHIEFTAN WAY; HOWSER STADIUM,CLO
Mental Health,3/27/13 17:04,2013-03-27 17:04:44 and 2013-03-27 17:04:44,1303-0233,942 LEARNING WAY; STUDENT LIFE BUILDING,CLO
Theft,7/6/13 14:17,2013-07-06 10:00:00 and 2013-07-06 13:00:00,1307-0034,525 STADIUM DR; MOORE ATHLETIC CENTER,CLO
Citizen Assist,5/29/13 9:47,2013-05-29 09:47:19 and 2013-05-29 09:47:19,1305-0201,508 S MACOMB ST; PARKING GARAGE #5,CLO
Alcohol Offense,10/26/13 22:08,2013-10-26 22:08:29 and 2013-10-26 22:08:29,1310-0351,S WOODWARD AVE & LEARNING WAY,PEN
Sick/Inj Person,9/20/13 9:54,2013-09-20 09:53:51 and 2013-09-20 09:53:51,1309-0244,301 M L KING BLVD S; Law School Advocate Center,CLO
Alcohol Offense,4/30/13 3:59,2013-04-30 03:59:13 and 2013-04-30 03:59:13,1304-0336,830 W JEFFERSON ST; TANNER HALL,CLO
Fraud,8/12/13 8:50,2013-08-12 08:49:40 and 2013-08-12 08:49:40,1308-0065,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,3/8/13 18:20,2013-03-06 19:20:00 and 2013-03-07 02:00:00,1303-0091,830 W JEFFERSON ST; TANNER HALL,CLO
Found Property,4/7/13 23:45,2013-04-07 23:45:18 and 2013-04-07 23:45:18,1304-0076,411 STADIUM DR; CAMPBELL STADIUM,CLO
Marchman Act,4/20/13 1:49,2013-04-20 01:49:22 and 2013-04-20 01:49:22,1304-0210,202 VARSITY DR; WILDWOOD NO.2,CLO
Alcohol Offense,10/19/13 18:59,2013-10-19 18:59:45 and 2013-10-19 18:59:45,1310-0236,223 S COPELAND ST; BRINKLEY LOT,PEN
Sick/Inj Person,1/11/13 16:41,2013-01-11 16:40:56 and 2013-01-11 16:40:56,1301-0072,301 M L KING BLVD S; Law School Advocate Center,CLO
Sick/Inj Person,2/19/13 23:18,2013-02-19 23:18:23 and 2013-02-19 23:18:23,1302-0205,78 CHIEFTAN WAY; SMITH HALL,CLO
Trespassing,9/4/13 22:01,2013-09-04 22:01:13 and 2013-09-04 22:01:13,1309-0043,HONORS WAY,PEN
Alcohol Offense,4/8/13 22:57,2013-04-08 22:57:29 and 2013-04-08 22:57:29,1304-0085,418 W COLLEGE AVE,CLO
Theft,3/5/13 17:45,2013-02-26 12:00:00 and 2013-03-04 18:15:00,1303-0052,804 W CALL ST; ROVETTA - BLDG A,CLO
Sick/Inj Person,10/8/13 15:26,2013-10-08 15:20:37 and 2013-10-08 15:26:37,1310-0085,CHIEFTAN WAY,CLO
Hazing,10/24/13 12:19,2013-10-24 12:19:55 and 2013-10-24 12:19:55,1310-0294,510 W PARK AVE; KAPPA ALPHA THETA,CLO
Theft,6/21/13 17:08,2013-06-21 17:08:01 and 2013-06-21 17:08:01,1306-0127,1114 W CALL ST; STONE BLDG,CLO
Suspicious Act.,6/4/13 18:57,2013-06-04 18:57:11 and 2013-06-04 18:57:11,1306-0022,1641 LEVY AVE; ALUMNI VILLAGE,CLO
Drugs,3/27/13 22:10,2013-03-27 22:10:11 and 2013-03-27 22:10:11,1303-0236,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Traffic Offense,11/19/13 13:17,2013-11-19 13:17:56 and 2013-11-19 13:17:56,1311-0286,STADIUM DR & HENDRY ST,PAT
Traffic Offense,3/23/13 2:31,2013-03-23 02:31:01 and 2013-03-23 02:31:03,1303-0197,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Intox Person 2,9/10/13 3:05,2013-09-10 03:05:10 and 2013-09-10 03:05:10,1309-0115,1147 ACADEMIC WAY; ROGERS HALL,CLO
Crim Mischief,2/9/13 1:56,2013-02-09 01:56:33 and 2013-02-09 01:56:33,1302-0091,W CALL ST & HONORS WAY,PEN
Traffic Offense,7/31/13 11:49,2013-07-31 11:49:18 and 2013-07-31 11:49:20,1307-0279,CONRADI ST,PEN
Sick/Inj Person,1/31/13 16:49,2013-01-31 16:49:18 and 2013-01-31 16:49:18,1301-0304,95 CHIEFTAN WAY; DITTMER CHEMISTRY LAB,CLO
Fire,8/7/13 11:32,2013-08-07 11:32:54 and 2013-08-07 11:32:54,1308-0035,89 N WOODWARD AVE; UNION,CLO
Marchman Act,10/12/13 0:50,2013-10-12 00:50:32 and 2013-10-12 00:50:32,1310-0130,144 HONORS WAY; LANDIS GREEN,CLO
Property Damage,8/22/13 18:04,2013-08-22 18:04:25 and 2013-08-22 18:04:25,1308-0121,812 W JEFFERSON ST; DORMAN HALL,CLO
Traff Hit/Run 3,2/13/13 21:10,2013-02-13 18:45:00 and 2013-02-13 21:10:00,1302-0140,508 S MACOMB ST; PARKING GARAGE #5,CLO
Investigation,3/9/13 11:11,2013-03-09 11:11:24 and 2013-03-09 11:11:24,1303-0094,202 VARSITY DR; WILDWOOD NO.2,CLO
Special Assignm,8/16/13 8:50,2013-08-16 08:50:49 and 2013-08-16 08:50:49,1308-0087,2000 LEVY AVE,CLO
Sick/Inj Person,5/22/13 10:54,2013-05-21 00:00:00 and 2013-05-22 10:53:50,1305-0151,122 N COPELAND ST; HOUSEWRIGHT MUSIC BLDG,CLO
Found Property,4/5/13 12:50,2013-04-05 12:49:36 and 2013-04-05 12:49:36,1304-0040,2051 E PAUL DIRAC DR,CLO
Sick/Inj Person,5/28/13 19:45,2013-05-28 19:45:51 and 2013-05-28 19:45:51,1305-0196,202 VARSITY DR; WILDWOOD NO.2,CLO
Alcohol Offense,4/25/13 23:48,2013-04-25 23:48:53 and 2013-04-25 23:48:53,1304-0287,459 W COLLEGE AVE; Potbellies,PEN
Information Bul,10/28/13 10:51,2013-10-28 10:51:01 and 2013-10-28 10:51:01,1310-0367,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,10/16/13 18:43,2013-10-16 18:30:11 and 2013-10-16 18:43:11,1310-0197,631 UNIVERSITY WAY; WILLIAMS BLDG,CLO
Intox Person 2,9/12/13 1:22,2013-09-12 01:21:08 and 2013-09-12 01:21:08,1309-0144,668 UNIVERSITY WAY; BROWARD HALL,CLO
Crim Mischief,9/3/13 8:29,2013-08-30 15:00:00 and 2013-08-31 11:30:00,1309-0020,400 CHAPEL DR; Bike Trail,CLO
Traffic Offense,12/9/13 20:30,2013-12-09 20:23:06 and 2013-12-09 20:23:25,1312-0103,STADIUM DR & W PENSACOLA ST,PEN
Official Paper,10/25/13 9:16,2013-10-25 09:16:31 and 2013-10-25 09:16:31,1310-0314,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Theft,1/16/13 14:24,2013-01-15 15:15:00 and 2013-01-15 15:35:00,1301-0122,530 W CALL ST; FINE ARTS BLDG,CLO
Theft,5/3/13 16:03,2013-05-03 16:03:00 and 2013-05-03 16:03:00,1305-0034,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Fire Alarm,2/2/13 8:18,2013-02-02 08:18:49 and 2013-02-02 08:18:49,1302-0019,1107 W CALL ST; NEW PSYCHOLOGY BLDG,CLO
Theft,6/6/13 13:55,2013-06-06 13:30:00 and 2013-06-06 13:55:47,1306-0037,89 N WOODWARD AVE; UNION,CLO
Suspicious Act.,2/8/13 13:51,2013-02-08 13:51:19 and 2013-02-08 13:51:19,1302-0081,3000 SCHOOLHOUSE RD,CLO
Theft,5/8/13 21:39,2013-05-08 21:39:25 and 2013-05-08 21:39:25,1305-0075,830 W JEFFERSON ST; TANNER HALL,CLO
Crime Prev Acti,10/31/13 21:50,2013-10-31 21:50:48 and 2013-10-31 21:50:48,1310-0423,1944 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 10,CLO
